Axis,Name,Direction,Note,Glyph 1,Point Index 1,Glyph 2,Point Index 2,Formula
wght,Weight,,,,,,,
wdth,Width,,,,,,,
opsz,Optical Size,,,,,,,
,,,,,,,,
XOPQ,General x opaque,x,H,48,3,48,10,
XOUC,X stem uppercase,x,H,48,3,48,10,
XOLC,x stem lowercase,x,n,6E,3,6E,33,
XOFI,X stem figures,x,1,31,3,31,9,
XTRA,General x transparent,x,H,48,3,48,23,
XTUC,x trans uppercase,x,H,48,3,48,23,
XTLC,x trans lowercase,x,n,6E,3,6E,25,
XTFI,x trans figures,x,0,30,0,30,18,
XTAB,Figure width,x,0,30,24,30,25,
GRAD,Grade,x,H,48,3,48,10,
,,,,,,,,
XTSB,General x sidebearing,x,H,48,34,48,3,
XUCS,x sidebearing uppercase H,x,H,48,34,48,3,
XUCR,x sidebearing uppercase O,x,O,4F,24,4F,0,
XLCS,x sidebearing lowercase n,x,n,6E,37,6E,3,
XLCR,x sidebearing lowercase o,x,o,6F,24,6F,0,
XFIR,x sidebearing figure 0,x,0,30,24,30,0,
,,,,,,,,
YOPQ,General y opaque,y,H,48,16,48,19,
YOUC,Y opaque uppercase,y,H,48,16,48,19,
YOLC,y opaque lowercase,y,f,66,25,66,26,
YOFI,y opaque figures,y,0,30,3,30,21,
,,,,,,,,
YTAS,y transparent ascender ,y,h,68,8,,,
YTDE,y transparent descender,y,p,70,0,,,
,,,,,,,,
YTOS,General y overshoot,y,O-H,4F,3,,,32 - 41 =
YTUO,y uppercase overshoot,y,O-H,4F,3,,,33 - 41 =
YTLO,y lowercase overshoot,y,o-x,6F,3,,,34 - 42 =
YTFO,y figures overshoot,y,0-5,30,3,,,35 - 43 =
YTDO,y descender overshoot,y,g-p,67,35,,,36 - 30 =
YTAO,y ascender overshoot,y,f-h,66,11,,,37 - 29 =
,,,,,,,,
,,,,,,,,
YTRA,y transparent,y,H+p,48,6,70,0,
YTUC,y transparent uppercase,y,H,48,6,,,
YTLC,y transparent lowercase,y,x,78,17,,,
YTFI,y transparent figures,y,5,35,14,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
XTCH,,,,,,,,
PWGT,Para Weight,x,H,48,3,48,10,
PWDT,Para Width,x,H,48,3,48,23,
POPS,Para Optical Size,,,,,,,
UDLN,underline,y,,5F,1,,,